BALDATA, Griselda Angela;CC;Córdoba;0;1;1;1;1;1;1;1;0;9;0;1;1;2;2;2;2;2;2;2;9;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1
BARBIERI, Mario Leandro;UCR;Buenos Aires;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2
BARRANDEGUY, Raúl Enrique;FPV;Entre Ríos;0;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;9;1;1;1
BARRIOS, Miguel Angel;PS;Santa Fe;0;1;1;1;1;1;1;1;1;1;0;9;1;1;1;2;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1
BASTEIRO, Sergio Ariel;NEPyS;Buenos Aires;0;1;1;1;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
BEDANO, Nora Esther;FPV;Córdoba;0;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2
BELOUS, Nélida;OTROS;Tierra del Fuego;0;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2
BENAS, Verónica Claudia;Upop;Santa Fe;0;1;9;1;2;1;1;1;0;0;0;1;1;1;1;9;1;1;1;1;1;9;1;9;0;1;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BENEDETTI, Atilio;UCR;Entre Ríos;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BERNAL, María Eugenia;FPV;Jujuy;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1
